Iso,SignedP,,,,,,
AIPGENE15337,-6,,,,,,
AIPGENE28010,-6,,,,,,
AIPGENE24082,-1.061372088,,,,,,
AIPGENE16282,-0.620897267,,,,,,
AIPGENE10743,-6,,,,,,
AIPGENE28760,-0.494914546,,,,,,
AIPGENE1282,-1.139254763,,,,,,
AIPGENE19082,-0.517569757,,,,,,
AIPGENE21693,-1.038462401,,,,,,
AIPGENE22830,-0.524391143,,,,,,
AIPGENE579,-0.626732545,,,,,,
AIPGENE21895,-0.575376139,,,,,,
AIPGENE3425,-0.561755726,,,,,,
AIPGENE6790,-0.604706227,,,,,,
AIPGENE6506,-0.523056837,,,,,,
AIPGENE23715,-0.865613126,,,,,,
AIPGENE19676,-0.887298879,,,,,,
AIPGENE15786,-0.573902405,,,,,,
AIPGENE24049,-6,,,,,,
AIPGENE22735,-0.573032015,,,,,,
AIPGENE16634,-0.55874826,,,,,,
AIPGENE14321,-0.74653411,,,,,,
AIPGENE28242,-6,,,,,,
AIPGENE19985,-1.040286442,,,,,,
AIPGENE18628,-0.574757117,,,,,,
AIPGENE28839,-2.91110187,,,,,,
AIPGENE16131,-6,,,,,,
AIPGENE5510,-0.762970557,,,,,,
AIPGENE9836,-0.416287686,,,,,,
AIPGENE16164,-6,,,,,,
AIPGENE23182,-0.527278727,,,,,,
AIPGENE109,-0.462414668,,,,,,
AIPGENE15928,-0.704137862,,,,,,
AIPGENE4284,-0.956269222,,,,,,
AIPGENE780,-0.814849079,,,,,,
AIPGENE11750,-0.944363839,,,,,,
AIPGENE72,-6,,,,,,
AIPGENE16337,-0.762782492,,,,,,
AIPGENE22816,-0.538058045,,,,,,
AIPGENE26394,-0.453391588,,,,,,
AIPGENE21546,-0.509172564,,,,,,
AIPGENE2770,-0.606624873,,,,,,
AIPGENE9346,-0.890202671,,,,,,
AIPGENE10903,-6,,,,,,
AIPGENE1676,-0.500557541,,,,,,
AIPGENE10813,-0.476878906,,,,,,
AIPGENE10927,-1.449769128,,,,,,
AIPGENE21580,-0.55999482,,,,,,
AIPGENE22059,-6,,,,,,
AIPGENE18804,-1.123858728,,,,,,
AIPGENE23588,-0.656219337,,,,,,
AIPGENE17526,-0.558429022,,,,,,
AIPGENE19461,-0.566843078,,,,,,
AIPGENE7433,-0.474643243,,,,,,
AIPGENE18873,-2.504109634,,,,,,
AIPGENE22895,-0.664573749,,,,,,
AIPGENE2985,-0.549853487,,,,,,
AIPGENE23430,-0.513370559,,,,,,
AIPGENE27948,-0.496055104,,,,,,
AIPGENE4181,-0.444775271,,,,,,
AIPGENE8643,-6,,,,,,
AIPGENE6784,-0.544456426,,,,,,
AIPGENE22752,-0.389340707,,,,,,
AIPGENE16794,-0.570615114,,,,,,
AIPGENE2426,-6,,,,,,
AIPGENE6764,-0.598237366,,,,,,
AIPGENE27186,-1.332608134,,,,,,
AIPGENE14197,-0.486822465,,,,,,
AIPGENE27790,-6,,,,,,
AIPGENE13783,-6,,,,,,
AIPGENE368,-0.632533456,,,,,,
AIPGENE25451,-0.46044641,,,,,,
AIPGENE24913,-0.793789958,,,,,,
AIPGENE9167,-0.480426952,,,,,,
AIPGENE2904,-6,,,,,,
AIPGENE20281,-0.546662726,,,,,,
AIPGENE18651,-0.57794035,,,,,,
AIPGENE8712,-0.490422776,,,,,,
AIPGENE14293,-0.610581401,,,,,,
AIPGENE22555,-0.576590981,,,,,,
AIPGENE7667,-0.445854168,,,,,,
AIPGENE21823,-0.673231864,,,,,,
AIPGENE18650,-0.444245631,,,,,,
AIPGENE921,-0.582886563,,,,,,
AIPGENE27347,-0.76735997,,,,,,
AIPGENE91,-0.395125066,,,,,,
AIPGENE9453,-0.512432159,,,,,,
AIPGENE24536,-0.564312783,,,,,,
AIPGENE19278,-0.723627197,,,,,,
AIPGENE20204,-1.194953369,,,,,,
AIPGENE23587,-0.734375125,,,,,,
AIPGENE21578,-0.475571342,,,,,,
AIPGENE13627,-1.045795088,,,,,,
AIPGENE23522,-0.706918926,,,,,,
AIPGENE6792,-0.500123541,,,,,,
AIPGENE2430,-0.395144621,,,,,,
AIPGENE14088,-0.498350708,,,,,,
AIPGENE4991,-0.377515722,,,,,,
AIPGENE20723,-6,,,,,,
AIPGENE4142,-1.931013916,,,,,,
AIPGENE6701,-0.775116228,,,,,,
AIPGENE23731,-0.647900792,,,,,,
AIPGENE6001,-0.397970641,,,,,,
AIPGENE25255,-0.431485744,,,,,,
AIPGENE13878,-1.051774776,,,,,,
AIPGENE3096,-0.898484734,,,,,,
AIPGENE10833,-0.933149013,,,,,,
AIPGENE15208,-0.588746182,,,,,,
AIPGENE6332,-0.588829118,,,,,,
AIPGENE14095,-6,,,,,,
AIPGENE9445,-0.624526925,,,,,,
AIPGENE5673,-6,,,,,,
AIPGENE18306,-0.954055443,,,,,,
AIPGENE2568,-0.420131958,,,,,,
AIPGENE28070,-1.070057437,,,,,,
AIPGENE16253,-1.000866529,,,,,,
AIPGENE19184,-0.53675026,,,,,,
AIPGENE15455,-1.74420078,,,,,,
AIPGENE24997,-2.291271821,,,,,,
AIPGENE6521,-0.493145816,,,,,,
AIPGENE27503,-0.602671913,,,,,,
AIPGENE8235,-2.52226993,,,,,,
AIPGENE11357,-0.525099303,,,,,,
AIPGENE21923,-0.401319734,,,,,,
AIPGENE13299,-0.57783355,,,,,,
AIPGENE1438,-0.593583662,,,,,,
AIPGENE12865,-1.262102969,,,,,,
AIPGENE7648,-0.656238734,,,,,,
AIPGENE5701,-1.806937321,,,,,,
AIPGENE18796,-0.568545275,,,,,,
AIPGENE12386,-0.459510855,,,,,,
AIPGENE12872,-0.400342612,,,,,,
AIPGENE11970,-0.539073795,,,,,,
AIPGENE12585,-0.426009326,,,,,,
AIPGENE7501,-0.551661674,,,,,,
AIPGENE5552,-0.530896531,,,,,,
AIPGENE16786,-0.836386764,,,,,,
AIPGENE27064,-2.429934256,,,,,,
AIPGENE13471,-0.84311198,,,,,,
AIPGENE10150,-6,,,,,,
AIPGENE25876,-2.681243617,,,,,,
AIPGENE20081,-0.438544312,,,,,,
AIPGENE4331,-0.399557556,,,,,,
AIPGENE26452,-0.64537537,,,,,,
AIPGENE13447,-6,,,,,,
AIPGENE22290,-6,,,,,,
AIPGENE28705,-0.531355261,,,,,,
AIPGENE27789,-6,,,,,,
AIPGENE20673,-0.592772685,,,,,,
AIPGENE16331,-0.832279879,,,,,,
AIPGENE27747,-3.025037799,,,,,,
AIPGENE17751,-6,,,,,,
AIPGENE9027,-6,,,,,,
AIPGENE7223,-1.114877384,,,,,,
AIPGENE15213,-0.834147921,,,,,,
AIPGENE10222,-1.001976866,,,,,,
AIPGENE27006,-2.34020135,,,,,,
AIPGENE1657,-0.59464041,,,,,,
AIPGENE454,-0.500771319,,,,,,
AIPGENE14905,-0.543293352,,,,,,
AIPGENE27879,-3.149054316,,,,,,
AIPGENE28427,-0.50318583,,,,,,
AIPGENE9456,-0.451099506,,,,,,
AIPGENE2549,-0.516563944,,,,,,
AIPGENE2425,-0.675606644,,,,,,
AIPGENE14728,-0.424560742,,,,,,
AIPGENE28331,-0.602665319,,,,,,
AIPGENE14106,-0.628303214,,,,,,
AIPGENE16418,-0.525963001,,,,,,
AIPGENE28199,-1.552930279,,,,,,
AIPGENE29260,-0.430049142,,,,,,
AIPGENE10230,-0.787641757,,,,,,
AIPGENE16990,-0.379734491,,,,,,
AIPGENE15386,-0.494883412,,,,,,
AIPGENE7440,-1.570323465,,,,,,
AIPGENE24537,-0.80927185,,,,,,
AIPGENE4974,-0.613628846,,,,,,
AIPGENE8153,-0.978780192,,,,,,
AIPGENE17286,-1.2225653,,,,,,
AIPGENE28943,-3.16473869,,,,,,
AIPGENE16653,-0.507324944,,,,,,
AIPGENE2774,-0.5003361,,,,,,
AIPGENE6333,-1.41119449,,,,,,
AIPGENE19031,-3.025185805,,,,,,
AIPGENE17561,-0.485221837,,,,,,
AIPGENE10866,-1.155181085,,,,,,
AIPGENE5803,-0.340730504,,,,,,
AIPGENE10967,-2.450721928,,,,,,
AIPGENE8082,-0.634319946,,,,,,
AIPGENE17775,-3.052862311,,,,,,
AIPGENE13291,-0.45630487,,,,,,
AIPGENE16382,-0.453559034,,,,,,
AIPGENE1806,-2.513935672,,,,,,
AIPGENE15847,-0.485197454,,,,,,
AIPGENE28364,-1.075429879,,,,,,
AIPGENE9707,-6,,,,,,
AIPGENE12565,-2.926453423,,,,,,
AIPGENE28552,-1.456869406,,,,,,
AIPGENE21507,-0.667067406,,,,,,
AIPGENE10714,-0.653531186,,,,,,
AIPGENE13272,-0.393201452,,,,,,
AIPGENE17767,-0.80581318,,,,,,
AIPGENE24905,-0.684515556,,,,,,
AIPGENE9668,-1.137103993,,,,,,
AIPGENE10590,-1.933946408,,,,,,
AIPGENE9704,-1.413200796,,,,,,
AIPGENE16497,-6,,,,,,
AIPGENE15375,-0.742371018,,,,,,
AIPGENE10871,-0.994687573,,,,,,
AIPGENE25274,-0.729822835,,,,,,
AIPGENE7402,-1.478213817,,,,,,
AIPGENE19552,-0.398349087,,,,,,
AIPGENE1443,-1.916535566,,,,,,
AIPGENE11992,-0.487810678,,,,,,
AIPGENE23293,-2.05299312,,,,,,
AIPGENE13139,-0.500214574,,,,,,
AIPGENE10488,-0.26396945,,,,,,
AIPGENE29054,-0.734755202,,,,,,
AIPGENE1531,-0.486971353,,,,,,
AIPGENE3192,-1.034346087,,,,,,
AIPGENE19557,-0.377776389,,,,,,
AIPGENE10977,-6,,,,,,
AIPGENE586,-0.660123133,,,,,,
AIPGENE10496,-6,,,,,,
AIPGENE21459,-6,,,,,,
AIPGENE20530,-1.016702557,,,,,,
AIPGENE13209,-2.35781945,,,,,,
AIPGENE10961,-2.885045898,,,,,,
AIPGENE17389,-0.435839645,,,,,,
AIPGENE25377,-1.556811658,,,,,,
AIPGENE6000,-0.61344529,,,,,,
AIPGENE2439,-6,,,,,,
AIPGENE16805,-0.587061103,,,,,,
AIPGENE20481,-6,,,,,,
AIPGENE3800,-6,,,,,,
AIPGENE9263,-6,,,,,,
AIPGENE19857,-0.384258287,,,,,,
AIPGENE16280,-0.599789991,,,,,,
AIPGENE12374,-0.905825612,,,,,,
AIPGENE2988,-1.871796327,,,,,,
AIPGENE24611,-2.080801481,,,,,,
AIPGENE17763,-2.122644197,,,,,,
AIPGENE15566,-0.517343838,,,,,,
AIPGENE28200,-1.789882699,,,,,,
AIPGENE9756,-2.17706365,,,,,,
AIPGENE764,-1.495410453,,,,,,
AIPGENE9298,-3.155782415,,,,,,
AIPGENE17220,-6,,,,,,
AIPGENE28454,-0.53784325,,,,,,
AIPGENE11841,-0.503782565,,,,,,
AIPGENE8557,-1.043776889,,,,,,
AIPGENE8844,-6,,,,,,
AIPGENE10986,-6,,,,,,
AIPGENE20033,-1.379495863,,,,,,
AIPGENE13744,-1.236261609,,,,,,
AIPGENE21852,-3.147314495,,,,,,
AIPGENE23707,-0.289395598,,,,,,
AIPGENE16351,-1.214182585,,,,,,
AIPGENE13045,-2.17644363,,,,,,
AIPGENE28782,-1.659151362,,,,,,
AIPGENE27652,-2.12521425,,,,,,
AIPGENE12335,-0.478084833,,,,,,
