Biological process term,pval,direction
48/105 regulation of DNA recombination,3.10E-09,1
10/21 regulation of mitotic recombination,0.000956144,1
12/22 very long-chain fatty acid metabolic process,0.000766776,1
9/18 ribonucleoprotein complex export from nucleus,0.002158042,1
13/28 sister chromatid segregation,1.64E-05,1
58/144 cell cycle checkpoint,2.19E-14,1
16/23 DNA replication checkpoint,3.75E-07,1
38/99 DNA integrity checkpoint,3.62E-10,1
7/13 regulation of transcription involved in G1/S transition of mitotic cell cycle,0.003019724,1
9/26 rRNA modification,0.002576696,1
34/111 activation of MAPK activity,0.000450807,0
134/400 microtubule cytoskeleton organization,7.33E-08,1
53/144 mitotic cell cycle,3.32E-06,1
19/53 spliceosomal snRNP assembly,0.001719306,1
"73/189 RNA splicing, via transesterification reactions",1.50E-08,1
8/16 maturation of 5.8S rRNA,0.001374736,1
19/43 maturation of SSU-rRNA,8.64E-06,1
"5/12 maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",0.009603876,1
5/11 meiotic DNA double-strand break processing,0.007551882,1
6/16 resolution of meiotic recombination intermediates,0.00212253,1
18/45 mitotic recombination,1.02E-05,1
46/123 telomere organization,8.45E-09,1
53/129 recombinational repair,2.29E-14,1
18/35 DNA double-strand break processing,7.66E-06,1
81/263 cell morphogenesis,2.72E-09,0
62/214 RNA catabolic process,0.004015191,1
8/25 mitochondrial RNA metabolic process,0.000227256,1
66/233 response to acid chemical,0.007608829,0
48/155 ossification,0.000613487,0
108/341 regulation of neurotransmitter levels,0.00020514,0
36/98 action potential,1.18E-05,0
20/70 RNA methylation,3.72E-08,1
87/287 angiogenesis,3.98E-07,0
29/105 blood vessel development,0.002325905,0
54/162 sensory organ development,0.002353028,0
20/58 metanephros development,0.005287258,0
47/196 ameboidal-type cell migration,0.004034751,0
17/65 gastrulation,0.003681137,0
18/45 cell fate determination,0.00412202,0
9/21 formation of cytoplasmic translation initiation complex,0.002577342,1
34/94 establishment of planar polarity,4.99E-05,0
15/50 neural crest cell migration,5.48E-05,0
30/116 neuron migration,0.000120448,0
108/377 regulation of cytokine production,2.16E-05,0
55/218 positive regulation of cytokine production,0.000399986,0
53/175 kidney development,0.000426874,0
