Molecular Function Term,pval,direction
20/74 tRNA binding,4.852911466,1
16/38 exoribonuclease activity,2.300344809,1
5/15 rDNA binding,3.106878197,1
20/44 DNA secondary structure binding,5.906491517,1
68/254 magnesium ion binding,2.413903602,1
12/23 four-way junction DNA binding,2.530733912,1
136/402 DNA-binding transcription factor activity RNA polymerase II-specific,3.894860286,0
23/66 amyloid-beta binding,3.549113284,0
17/40 purinergic receptor activity,2.663742322,0
50/186 G protein-coupled receptor binding,8.162485163,0
7/13 ATPase activator activity,2.622936206,1
18/47 phosphatidylserine binding,2.602762377,0
19/57 G-protein alpha-subunit binding,2.530733912,0
562/1687 DNA binding,9.149118123,1
40/107 DNA helicase activity,4.368040543,1
165/432 chromatin binding,4.294328203,1
38/99 damaged DNA binding,6.267335702,1
11/20 DNA replication origin binding,4.56497767,1
38/104 single-stranded DNA binding,11.48334004,1
210/634 DNA-binding transcription factor activity,7.176597018,0
89/276 transcription coregulator activity,3.136924022,1
34/96 transcription corepressor activity,2.815974731,1
493/1520 RNA binding,11.20569111,1
66/191 mRNA binding,2.593576298,1
25/61 translation initiation factor activity,4.05947928,1
8/22 intramolecular oxidoreductase activity transposing S-S bonds,2.037938515,1
83/299 motor activity,8.168310895,1
6/11 3-hydroxyacyl-CoA dehydrogenase activity,2.337624008,1
11/31 NADH dehydrogenase activity,2.385007189,1
69/304 DNA polymerase activity,3.549169342,0
8/11 acetyl-CoA C-acyltransferase activity,3.588894551,1
22/79 ATP-dependent DNA helicase activity,2.800312156,1
36/120 RNA helicase activity,2.552851385,1
10/14 adenylate kinase activity,2.631416029,1
6/17 arachidonate 5-lipoxygenase activity,2.575001162,0
199/725 endopeptidase activity,13.39766973,0
33/167 aspartic-type endopeptidase activity,2.868252292,0
72/233 metalloendopeptidase activity,9.806699178,0
60/238 serine hydrolase activity,5.760376183,0
127/371 helicase activity,10.50335046,1
46/111 exonuclease activity,7.820302351,1
12/35 exodeoxyribonuclease activity,2.631416029,1
38/116 deoxyribonuclease activity,2.7663692,1
5/17 tRNA-specific ribonuclease activity,2.612822305,1
15/22 nucleoside diphosphate kinase activity,2.373197036,1
6/20 prenyltransferase activity,2.039036873,1
80/261 protein tyrosine kinase activity,12.71101917,0
51/163 transmembrane receptor protein kinase activity,12.12814584,0
