seq	term
c465886_g8	"Nucleotide transport and metabolism"
c475941_g1	"Energy production and conversion"
c452506_g1	"Amino acid transport and metabolism"
c474240_g2	"Signal transduction mechanisms"
c480741_g1	"Lipid transport and metabolism"
c421755_g1	"Energy production and conversion"
c465449_g3	"Lipid transport and metabolism"
c472540_g2	"Transcription"
c478203_g10	"Posttranslational modification, protein turnover, chaperones"
c401771_g2	"RNA processing and modification"
c457391_g1	"Replication, recombination and repair"
c475696_g1	"Signal transduction mechanisms"
c481355_g1	"Nucleotide transport and metabolism"
c426384_g1	"Cytoskeleton"
c465382_g1	"Chromatin structure and dynamics"
c431864_g1	"RNA processing and modification"
c434371_g1	"NA"
c476450_g1	"Translation, ribosomal structure and biogenesis"
c463522_g1	"Signal transduction mechanisms"
c435702_g2	"Posttranslational modification, protein turnover, chaperones"
c339780_g1	"Signal transduction mechanisms"
c467873_g3	"NA"
c476504_g1	"Posttranslational modification, protein turnover, chaperones"
c468906_g2	"Carbohydrate transport and metabolism"
c468566_g1	"Transcription"
c479494_g1	"NA"
c404822_g1	"Energy production and conversion"
c447700_g1	"Energy production and conversion"
c462122_g2	"Signal transduction mechanisms"
c479346_g2	"Replication, recombination and repair"
c479875_g2	"Carbohydrate transport and metabolism"
c458071_g1	"Coenzyme transport and metabolism"
c461651_g1	"Chromatin structure and dynamics"
c466944_g9	"Carbohydrate transport and metabolism"
c462584_g1	"RNA processing and modification"
c446701_g3	"Chromatin structure and dynamics"
c481235_g1	"Replication, recombination and repair"
c476433_g2	"Transcription"
c474304_g1	"Posttranslational modification, protein turnover, chaperones"
c477105_g1	"Replication, recombination and repair"
c478625_g1	"Replication, recombination and repair"
c453109_g1	"Posttranslational modification, protein turnover, chaperones"
c147292_g1	"Energy production and conversion"
c391955_g2	"Energy production and conversion"
c475260_g2	"Signal transduction mechanisms"
c442239_g2	"Signal transduction mechanisms"
c425775_g1	"Replication, recombination and repair"
c439909_g1	"Replication, recombination and repair"
c478435_g2	"NA"
c479381_g5	"Intracellular trafficking, secretion, and vesicular transport"
c469271_g1	"Signal transduction mechanisms"
c440707_g1	"Amino acid transport and metabolism"
c477450_g3	"Replication, recombination and repair"
