seq term
AIPGENE5422	"Posttranslational modification, protein turnover, chaperones"
AIPGENE25684	"Signal transduction mechanisms"
AIPGENE25151	"Signal transduction mechanisms"
AIPGENE25160	"Lipid transport and metabolism"
AIPGENE25163	"Replication, recombination and repair"
AIPGENE25166	"Energy production and conversion"
AIPGENE25168	""
AIPGENE25171	"Lipid transport and metabolism"
AIPGENE25177	"Inorganic ion transport and metabolism"
AIPGENE25185	"Posttranslational modification, protein turnover, chaperones"
AIPGENE25187	"Lipid transport and metabolism"
AIPGENE25196	"RNA processing and modification"
AIPGENE25200	"Signal transduction mechanisms"
AIPGENE25203	"Posttranslational modification, protein turnover, chaperones"
AIPGENE25209	"Cell cycle control, cell division, chromosome partitioning"
AIPGENE25210	"Cell cycle control, cell division, chromosome partitioning"
AIPGENE7925	"Translation, ribosomal structure and biogenesis"
AIPGENE7927	"Extracellular structures"
AIPGENE7928	""
AIPGENE12530	""
AIPGENE12531	""
AIPGENE27734	""
AIPGENE27735	""
AIPGENE27745	"Signal transduction mechanisms"
AIPGENE27754	"Intracellular trafficking, secretion, and vesicular transport"
AIPGENE27759	""
AIPGENE27761	"Replication, recombination and repair"
AIPGENE27770	"Chromatin structure and dynamics"
AIPGENE27778	"Cell wall/membrane/envelope biogenesis"
AIPGENE27780	"Posttranslational modification, protein turnover, chaperones"
AIPGENE26296	"Transcription"
AIPGENE28458	"Signal transduction mechanisms"
AIPGENE4340	""
AIPGENE4341	""
AIPGENE4343	"Chromatin structure and dynamics"
AIPGENE4344	""
AIPGENE4348	""
AIPGENE4349	"Intracellular trafficking, secretion, and vesicular transport"
AIPGENE4356	"Nucleotide transport and metabolism"
AIPGENE4359	"Cell motility"
AIPGENE4360	""
AIPGENE4375	"Signal transduction mechanisms"
AIPGENE4378	"Replication, recombination and repair"
AIPGENE4379	""
AIPGENE4381	""
AIPGENE4386	"Signal transduction mechanisms"
AIPGENE4392	""
AIPGENE13977	"Replication, recombination and repair"
AIPGENE18205	"Carbohydrate transport and metabolism"
AIPGENE14101	""
AIPGENE14105	"Transcription"
AIPGENE14114	"Posttranslational modification, protein turnover, chaperones"
AIPGENE14115	"Posttranslational modification, protein turnover, chaperones"
AIPGENE14117	""
AIPGENE14122	""
AIPGENE14123	""
AIPGENE14134	"Signal transduction mechanisms"
AIPGENE14144	"RNA processing and modification"
AIPGENE6580	"Replication, recombination and repair"
AIPGENE5993	"Transcription"
AIPGENE237	""
AIPGENE28856	""
AIPGENE28857	"Signal transduction mechanisms"
AIPGENE28865	"Transcription"
AIPGENE28871	""
AIPGENE28879	"Cytoskeleton"
AIPGENE28882	""
AIPGENE28889	"Cytoskeleton"
AIPGENE28891	""
AIPGENE20619	"Posttranslational modification, protein turnover, chaperones"
AIPGENE20085	"Posttranslational modification, protein turnover, chaperones"
AIPGENE15672	"Energy production and conversion"
AIPGENE15674	"Amino acid transport and metabolism"
AIPGENE15683	"Translation, ribosomal structure and biogenesis"
AIPGENE15684	"Carbohydrate transport and metabolism"
AIPGENE15685	""
AIPGENE15687	"Transcription"
AIPGENE15700	"Coenzyme transport and metabolism"
AIPGENE15701	"Transcription"
AIPGENE15705	"Secondary metabolites biosynthesis, transport and catabolism"
AIPGENE15707	"Signal transduction mechanisms"
AIPGENE15708	"Signal transduction mechanisms"
AIPGENE15721	"Carbohydrate transport and metabolism"
AIPGENE15735	""
AIPGENE15740	"RNA processing and modification"
AIPGENE15742	""
AIPGENE15744	"Posttranslational modification, protein turnover, chaperones"
AIPGENE15745	"Posttranslational modification, protein turnover, chaperones"
AIPGENE15746	"Signal transduction mechanisms"
AIPGENE15747	"Posttranslational modification, protein turnover, chaperones"
AIPGENE8142	"Energy production and conversion"
AIPGENE3586	""
AIPGENE28660	"Amino acid transport and metabolism"
AIPGENE400	""
AIPGENE401	"Transcription"
AIPGENE402	""
AIPGENE407	"Amino acid transport and metabolism"
AIPGENE409	"Translation, ribosomal structure and biogenesis"
AIPGENE410	"Translation, ribosomal structure and biogenesis"
AIPGENE411	"RNA processing and modification"
AIPGENE412	""
AIPGENE414	"Signal transduction mechanisms"
AIPGENE28136	"Posttranslational modification, protein turnover, chaperones"
AIPGENE12223	"Inorganic ion transport and metabolism"
AIPGENE12249	"Posttranslational modification, protein turnover, chaperones"
AIPGENE12254	"Posttranslational modification, protein turnover, chaperones"
AIPGENE12257	"Replication, recombination and repair"
AIPGENE12260	"Carbohydrate transport and metabolism"
AIPGENE12273	""
AIPGENE12277	"Signal transduction mechanisms"
AIPGENE12281	"Signal transduction mechanisms"
AIPGENE12282	""
AIPGENE27452	""
AIPGENE27453	"Translation, ribosomal structure and biogenesis"
AIPGENE23649	""
AIPGENE23650	""
AIPGENE23651	"Lipid transport and metabolism"
AIPGENE23665	"Posttranslational modification, protein turnover, chaperones"
AIPGENE23667	""
AIPGENE23670	"Energy production and conversion"
AIPGENE23672	"Cytoskeleton"
AIPGENE23673	"Lipid transport and metabolism"
AIPGENE23674	"Cell cycle control, cell division, chromosome partitioning"
AIPGENE23680	"Posttranslational modification, protein turnover, chaperones"
AIPGENE23684	"Carbohydrate transport and metabolism"
AIPGENE9826	""
AIPGENE9828	"Energy production and conversion"
